ESTIBA|NIVEL|OP|ESTADO|COLADA|PRODUCTO|LOTE|PIEZAS|ACERO|DIAMETRO|ESPESOR|OCUPACION STOCK|OCUPACION_ESTIBA|FCH_STOCK|TONS|LINGADA|EN USO|PZS CARGAR
7B14|4|5192401|10|53423|15870|78397|1|745|219.100000|8.180000|5.07|13.38|22/05/2030 05:30:21|15.58|D0924786||0
7G8|1|8081901|20|59765|85426|999999|13|714|193.680000|7.620000|4.61|23.05|22/05/2030 05:30:21|31.06|E1837706||0
7G8|2|8081901|20|59765|85426|999999|13|714|193.680000|7.620000|4.61|23.05|22/05/2030 05:30:21|31.06|E1837707||0
7G8|3|8081901|20|59765|85426|999999|13|714|193.680000|7.620000|4.61|23.05|22/05/2030 05:30:21|31.06|E1837708||0
7G8|4|8081901|20|59765|85426|999999|13|714|193.680000|7.620000|4.61|23.05|22/05/2030 05:30:21|31.06|E1837709||0
7G8|5|8081901|20|59765|85426|999999|9|714|193.680000|7.620000|4.61|23.05|22/05/2030 05:30:21|31.06|E1837710||0
7D12|1|8067501|10|28715|85250|78301|12|619|139.700000|10.540000|3.63|33.49|22/05/2030 05:30:21|54.84|D0921120||0
7D12|2|8067501|10|28715|85250|78301|5|619|139.700000|10.540000|3.63|33.49|22/05/2030 05:30:21|54.84|D0921121||0
7D12|3|8067501|10|28715|85250|78301|17|619|139.700000|10.540000|3.63|33.49|22/05/2030 05:30:21|54.84|D0921126||0
7D12|4|8067501|10|28715|85250|78301|17|619|139.700000|10.540000|3.63|33.49|22/05/2030 05:30:21|54.84|D0921133||0
7D12|5|8067501|10|28715|85250|78301|17|619|139.700000|10.540000|3.63|33.49|22/05/2030 05:30:21|54.84|D0921140||0
7D12|6|8067501|10|28715|85250|78301|4|619|139.700000|10.540000|3.63|33.49|22/05/2030 05:30:21|54.84|D0921175||0
7D12|7|8067501|10|28715|85250|78301|1|619|139.700000|10.540000|3.63|33.49|22/05/2030 05:30:21|54.84|D0921182||0
